,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,spotPrice,timetoMaturity
0,SPX260320C03400000,2026-03-04 19:37:33+00:00,3400.0,3482.48,3277.4,3297.5,0.0,0.0,40.0,72.0,3.723633503417969,True,REGULAR,USD,^SPX,6632.18994140625,7
1,SPX260320C03850000,2026-02-20 18:02:03+00:00,3850.0,3045.19,2825.8,2847.9,0.0,0.0,2.0,53.0,3.1188376521301264,True,REGULAR,USD,^SPX,6632.18994140625,7
2,SPX260320C03950000,2025-12-30 17:57:28+00:00,3950.0,2976.08,2995.3,3009.7,0.0,0.0,1700.0,1701.0,5.124179620170594,True,REGULAR,USD,^SPX,6632.18994140625,7
3,SPX260320C04000000,2026-03-13 15:23:52+00:00,4000.0,2674.6,2678.3,2692.7,0.0,0.0,1000.0,11053.0,2.9177883500671387,True,REGULAR,USD,^SPX,6632.18994140625,7
4,SPX260320C04050000,2026-03-09 20:00:39+00:00,4050.0,2754.4,2628.3,2642.8,0.0,0.0,20.0,1700.0,2.8587064665222166,True,REGULAR,USD,^SPX,6632.18994140625,7
5,SPX260320C04700000,2026-01-06 18:04:54+00:00,4700.0,2262.17,2274.3,2282.1,0.0,0.0,2.0,385.0,4.000066035079955,True,REGULAR,USD,^SPX,6632.18994140625,7
6,SPX260320C04950000,2025-04-07 09:13:42+00:00,4950.0,509.7,1000.0,1005.7,0.0,0.0,10.0,224.0,1.0000000000000003e-05,True,REGULAR,USD,^SPX,6632.18994140625,7
7,SPX260320C04975000,2026-03-10 19:47:41+00:00,4975.0,1814.61,1702.3,1723.8,0.0,0.0,2.0,215.0,1.8742987242126465,True,REGULAR,USD,^SPX,6632.18994140625,7
8,SPXW260320C05000000,2026-03-13 15:33:55+00:00,5000.0,1659.51,1677.7,1697.8,0.0,0.0,2.0,155.0,1.8462837275695798,True,REGULAR,USD,^SPX,6632.18994140625,7
9,SPX260320C05050000,2025-04-10 18:51:29+00:00,5050.0,699.94,922.4,927.9,0.0,0.0,22.0,510.0,1.0000000000000003e-05,True,REGULAR,USD,^SPX,6632.18994140625,7
10,SPX260320C05125000,2025-05-08 17:48:45+00:00,5125.0,898.59,1122.3,1126.6,0.0,0.0,2.0,251.0,1.0000000000000003e-05,True,REGULAR,USD,^SPX,6632.18994140625,7
11,SPX260320C05150000,2025-09-22 18:29:52+00:00,5150.0,1665.82,1668.9,1692.9,0.0,0.0,28.0,165.0,2.5885655403137204,True,REGULAR,USD,^SPX,6632.18994140625,7
12,SPX260320C05200000,2026-03-12 13:36:20+00:00,5200.0,1524.09,1479.3,1493.6,0.0,0.0,40.0,1089.0,1.6354693519592283,True,REGULAR,USD,^SPX,6632.18994140625,7
13,SPX260320C05350000,2025-08-01 15:15:36+00:00,5350.0,1106.0,1428.7,1432.6,0.0,0.0,3.0,573.0,2.0733690744018554,True,REGULAR,USD,^SPX,6632.18994140625,7
14,SPX260320C05400000,2026-03-13 14:35:00+00:00,5400.0,1309.76,1279.4,1294.1,0.0,0.0,2.0,2143.0,1.4424618941497804,True,REGULAR,USD,^SPX,6632.18994140625,7
15,SPX260320C05450000,2026-03-12 15:37:15+00:00,5450.0,1241.51,1229.5,1244.2,0.0,0.0,3.0,1546.0,1.3948241928863525,True,REGULAR,USD,^SPX,6632.18994140625,7
