,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,spotPrice,timetoMaturity
0,SPX260320C03400000,2026-03-04 19:37:33+00:00,3400.0,3482.48,3213.5,3234.9,0.0,0.0,40.0,72.0,1.9451907037353517,True,REGULAR,USD,^SPX,6632.18994140625,7
1,SPX260320C03950000,2025-12-30 17:57:28+00:00,3950.0,2976.08,2995.3,3009.7,0.0,0.0,1700.0,1701.0,4.330715951356888,True,REGULAR,USD,^SPX,6632.18994140625,7
2,SPX260320C04000000,2026-03-13 15:23:52+00:00,4000.0,2674.6,2616.2,2630.7,-39.18994,-1.4441037,1000.0,11653.0,1.0000000000000003e-05,True,REGULAR,USD,^SPX,6632.18994140625,7
3,SPX260320C04050000,2026-03-09 20:00:39+00:00,4050.0,2754.4,2566.2,2580.8,0.0,0.0,20.0,1700.0,1.0000000000000003e-05,True,REGULAR,USD,^SPX,6632.18994140625,7
4,SPX260320C04950000,2025-04-07 09:13:42+00:00,4950.0,509.7,1000.0,1005.7,0.0,0.0,10.0,224.0,1.0000000000000003e-05,True,REGULAR,USD,^SPX,6632.18994140625,7
5,SPX260320C05050000,2025-04-10 18:51:29+00:00,5050.0,699.94,922.4,927.9,0.0,0.0,22.0,510.0,1.0000000000000003e-05,True,REGULAR,USD,^SPX,6632.18994140625,7
6,SPX260320C05150000,2025-09-22 18:29:52+00:00,5150.0,1665.82,1668.9,1692.9,0.0,0.0,28.0,165.0,2.1877257831382746,True,REGULAR,USD,^SPX,6632.18994140625,7
7,SPX260320C05200000,2026-03-12 13:36:20+00:00,5200.0,1524.09,1418.2,1432.7,0.0,0.0,40.0,1089.0,0.6433141137695313,True,REGULAR,USD,^SPX,6632.18994140625,7
8,SPX260320C05350000,2025-08-01 15:15:36+00:00,5350.0,1106.0,1428.7,1432.6,0.0,0.0,3.0,573.0,1.7523053156280515,True,REGULAR,USD,^SPX,6632.18994140625,7
9,SPX260320C05450000,2026-03-12 15:37:15+00:00,5450.0,1241.51,1169.1,1183.6,0.0,0.0,3.0,1546.0,0.5939982006835938,True,REGULAR,USD,^SPX,6632.18994140625,7
